YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,ARRIVAL_DELAY,CANCELLED,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,AA,328,DEN,DFW,53,66,0,13,0,53,0,0
2015,1,1,4,EV,5764,SBN,ORD,-3,-14,0,,,,,
2015,1,1,4,F9,1279,PHL,MCO,-4,-18,0,,,,,
2015,1,1,4,NK,409,ORD,FLL,-4,-25,0,,,,,
2015,1,1,4,OO,5460,RDD,SFO,,,1,,,,,
2015,1,1,4,OO,6391,EUG,DEN,-4,13,0,,,,,
2015,1,1,4,UA,1532,SFO,DEN,19,26,0,7,0,19,0,0
2015,1,1,4,UA,1167,ORD,DEN,7,3,0,,,,,
2015,1,1,4,UA,1012,IAD,IAH,6,14,0,,,,,
2015,1,1,4,B6,2001,BUF,JFK,-5,-15,0,,,,,
2015,1,1,4,B6,2807,PWM,JFK,-7,-25,0,,,,,
2015,1,1,4,B6,2023,JFK,SJU,43,19,0,0,0,19,0,0
2015,1,1,4,EV,4557,CRP,IAH,-12,-21,0,,,,,
2015,1,1,4,EV,5241,PIA,DTW,-5,-18,0,,,,,
2015,1,1,4,EV,5498,ORD,DTW,15,-3,0,,,,,
2015,1,1,4,OO,6512,FAT,LAX,-5,0,0,,,,,
2015,1,1,4,UA,1577,SMF,DEN,56,78,0,22,0,56,0,0
2015,1,1,4,OO,4986,AUS,LAX,-3,-16,0,,,,,
2015,1,1,4,B6,727,BOS,BWI,-4,-21,0,,,,,
2015,1,1,4,B6,1012,ORD,BOS,-11,-33,0,,,,,
2015,1,1,4,DL,824,PHX,DTW,148,128,0,0,0,0,0,128
2015,1,1,4,DL,941,MCI,ATL,6,-15,0,,,,,
2015,1,1,4,DL,2079,BOS,DTW,-3,-21,0,,,,,
2015,1,1,4,EV,3268,ATL,IAD,16,14,0,,,,,
2015,1,1,4,EV,4160,JAX,EWR,-9,-14,0,,,,,
2015,1,1,4,OO,6285,MFR,DEN,-2,25,0,25,0,0,0,0
2015,1,1,4,OO,5184,SLC,IAH,-3,-16,0,,,,,
2015,1,1,4,OO,6358,IDA,DEN,-2,7,0,,,,,
2015,1,1,4,F9,161,MSN,DEN,-10,-11,0,,,,,
2015,1,1,4,OO,4833,MKE,DTW,-2,-21,0,,,,,
2015,1,1,4,UA,1119,GEG,DEN,-3,-6,0,,,,,
2015,1,1,4,UA,1237,SEA,IAH,-4,11,0,,,,,
2015,1,1,4,UA,1540,DCA,IAH,5,-7,0,,,,,
2015,1,1,4,AA,1433,SAT,DFW,-6,-12,0,,,,,
2015,1,1,4,AA,2299,JFK,MIA,55,69,0,14,0,55,0,0
2015,1,1,4,B6,721,BOS,PBI,6,-9,0,,,,,
2015,1,1,4,B6,917,BOS,JFK,-2,-13,0,,,,,
2015,1,1,4,B6,939,JFK,BQN,0,-19,0,,,,,
2015,1,1,4,DL,1890,DFW,ATL,18,-2,0,,,,,
2015,1,1,4,EV,4646,CHS,EWR,-5,1,0,,,,,
2015,1,1,4,F9,365,MKE,DEN,36,17,0,0,0,17,0,0
2015,1,1,4,F9,117,MSP,DEN,-7,-8,0,,,,,
2015,1,1,4,MQ,2926,CHS,DFW,,,1,,,,,
2015,1,1,4,OO,2599,DEN,LAX,73,56,0,0,0,56,0,0
2015,1,1,4,OO,5482,SBA,DEN,-3,10,0,,,,,
2015,1,1,4,OO,6457,SMX,LAX,,,1,,,,,
2015,1,1,4,HA,218,HNL,KOA,-8,-6,0,,,,,
2015,1,1,4,B6,515,BOS,BUF,-9,-6,0,,,,,
2015,1,1,4,UA,228,PDX,EWR,-3,-35,0,,,,,
2015,1,1,4,US,641,IND,PHX,-5,4,0,,,,,
2015,1,1,4,UA,495,LAX,DEN,0,-9,0,,,,,
2015,1,1,4,UA,507,CLE,IAH,39,43,0,4,0,39,0,0
2015,1,1,4,UA,1553,BOS,EWR,2,-19,0,,,,,
2015,1,1,4,US,403,DEN,PHX,0,-10,0,,,,,
2015,1,1,4,US,446,MCI,PHX,-6,-5,0,,,,,
2015,1,1,4,AA,1178,AUS,DFW,-2,-1,0,,,,,
2015,1,1,4,AA,2410,LAX,DFW,10,2,0,,,,,
2015,1,1,4,DL,2453,GSP,ATL,0,0,0,,,,,
2015,1,1,4,B6,2228,MCO,EWR,-2,-7,0,,,,,
2015,1,1,4,EV,4555,MCI,IAH,-2,1,0,,,,,
2015,1,1,4,EV,5698,BDL,IAD,-7,-19,0,,,,,
2015,1,1,4,MQ,3534,ABI,DFW,,,1,,,,,
2015,1,1,4,EV,4339,RIC,IAH,-2,13,0,,,,,
2015,1,1,4,OO,6204,BFL,DEN,6,20,0,14,0,6,0,0
2015,1,1,4,OO,6261,SAT,SFO,7,-19,0,,,,,
2015,1,1,4,OO,5160,OMA,IAH,15,21,0,6,0,15,0,0
2015,1,1,4,OO,6224,RDM,DEN,-1,6,0,,,,,
2015,1,1,4,B6,860,FLL,BDL,-2,9,0,,,,,
2015,1,1,4,EV,5230,CID,ATL,0,-17,0,,,,,
2015,1,1,4,WN,526,SFO,DEN,-2,-2,0,,,,,
2015,1,1,4,UA,1222,MCO,LAX,2,4,0,,,,,
2015,1,1,4,UA,1507,TPA,EWR,-6,-13,0,,,,,
2015,1,1,4,AA,1094,SEA,DFW,0,16,0,16,0,0,0,0
2015,1,1,4,AA,1233,BOS,DFW,-4,-10,0,,,,,
2015,1,1,4,B6,115,SYR,JFK,-5,-13,0,,,,,
2015,1,1,4,B6,185,ROC,JFK,-5,-17,0,,,,,
2015,1,1,4,EV,2519,TYR,DFW,-9,-9,0,,,,,
2015,1,1,4,EV,3928,MCI,ORD,-1,-12,0,,,,,
2015,1,1,4,EV,3941,LAN,ORD,0,6,0,,,,,
2015,1,1,4,EV,5976,BUF,EWR,213,226,0,13,0,0,0,213
2015,1,1,4,MQ,3161,XNA,DFW,,,1,,,,,
2015,1,1,4,EV,5677,GSO,EWR,-18,-22,0,,,,,
2015,1,1,4,NK,224,ORD,LGA,-9,27,0,27,0,0,0,0
2015,1,1,4,UA,1457,LAX,IAH,-2,-16,0,,,,,
2015,1,1,4,AA,1205,EWR,MIA,-7,-13,0,,,,,
2015,1,1,4,OO,5547,ONT,DEN,119,116,0,0,0,0,0,116
2015,1,1,4,UA,210,MSP,DEN,-4,-23,0,,,,,
2015,1,1,4,UA,214,PBI,IAH,-5,-3,0,,,,,
